accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
0,Pune,Maharashtra,18.680827,73.930388,10/22/2023,5:00,5,Sunday,1,highway,3,1,fog,low,32,high,weather,fatal,2,2,0,None,0.85
1,Mumbai,Maharashtra,18.817732,72.790846,5/21/2023,4:00,4,Sunday,1,urban,4,0,clear,high,34,low,weather,major,4,3,0,None,0.1
2,Mumbai,Maharashtra,19.096889,72.819424,7/10/2024,13:00,13,Wednesday,0,urban,3,0,fog,low,21,medium,weather,minor,1,1,0,None,0.45
3,Chandigarh,Punjab,30.787805,76.847507,3/30/2025,11:00,11,Sunday,1,urban,1,1,fog,low,30,high,distraction,minor,5,2,0,None,0.65
4,Chennai,Tamil Nadu,12.965155,80.283313,1/25/2024,16:00,16,Thursday,0,highway,3,1,clear,high,24,low,distraction,minor,2,1,0,None,0.1
5,Delhi,Delhi,28.79949,77.049666,7/29/2024,8:00,8,Monday,0,urban,5,1,clear,high,36,high,overspeeding,fatal,4,4,1,None,0.65
6,Bangalore,Karnataka,13.064327,77.530941,3/24/2025,6:00,6,Monday,0,highway,3,0,clear,high,33,high,drunk driving,minor,4,4,0,None,0.3
7,Chandigarh,Punjab,30.786617,76.733947,5/7/2023,14:00,14,Sunday,1,urban,3,1,clear,high,25,low,weather,major,3,0,0,None,0.1
8,Hyderabad,Telangana,17.422447,78.464881,2/25/2022,3:00,3,Friday,0,urban,1,0,rain,low,22,low,poor road,minor,1,0,0,None,0.45
9,Bangalore,Karnataka,12.939033,77.498966,3/31/2024,4:00,4,Sunday,1,rural,3,1,clear,high,23,low,weather,minor,1,0,0,None,0.1
10,Chandigarh,Punjab,30.651926,76.876892,3/23/2022,13:00,13,Wednesday,0,highway,1,1,fog,low,34,medium,poor road,minor,3,3,0,None,0.45
11,Bangalore,Karnataka,12.936802,77.469957,1/27/2022,2:00,2,Thursday,0,urban,5,1,rain,medium,33,low,drunk driving,minor,2,0,0,None,0.25
12,Mumbai,Maharashtra,19.132036,72.76057,11/28/2023,9:00,9,Tuesday,0,highway,5,1,rain,low,17,medium,weather,major,4,1,1,None,0.6
13,Pune,Maharashtra,18.532452,73.841799,3/25/2024,8:00,8,Monday,0,highway,6,0,rain,low,40,medium,overspeeding,major,5,2,1,Holi,0.7
14,Chandigarh,Punjab,30.721892,76.711388,2/9/2025,18:00,18,Sunday,1,urban,5,1,rain,medium,23,high,overspeeding,major,4,0,1,None,0.6
15,Chandigarh,Punjab,30.772308,76.768413,3/18/2024,8:00,8,Monday,0,rural,1,0,clear,high,23,high,drunk driving,minor,4,4,1,None,0.45
16,Hyderabad,Telangana,17.382285,78.551704,8/3/2023,11:00,11,Thursday,0,urban,6,0,rain,low,20,low,overspeeding,major,5,3,0,None,0.45
17,Chennai,Tamil Nadu,13.161404,80.197819,9/26/2023,21:00,21,Tuesday,0,urban,1,1,fog,low,30,medium,distraction,fatal,5,5,0,None,0.65
18,Hyderabad,Telangana,17.570411,78.310647,8/14/2024,18:00,18,Wednesday,0,urban,4,1,fog,low,21,high,distraction,fatal,1,1,1,None,1
19,Chandigarh,Punjab,30.629812,76.765481,2/4/2024,2:00,2,Sunday,1,urban,5,1,fog,low,36,low,poor road,minor,2,0,0,None,0.45
20,Kolkata,West Bengal,22.459848,88.361745,11/4/2022,1:00,1,Friday,0,highway,6,1,fog,low,30,low,drunk driving,fatal,5,5,0,None,0.65
21,Kolkata,West Bengal,22.692541,88.209956,12/9/2023,0:00,0,Saturday,1,urban,3,0,fog,low,25,medium,weather,minor,4,1,0,None,0.45
22,Bangalore,Karnataka,12.911401,77.624696,8/6/2024,3:00,3,Tuesday,0,urban,1,0,rain,low,26,medium,distraction,major,3,1,0,None,0.45
23,Chennai,Tamil Nadu,12.98416,80.153974,7/26/2023,23:00,23,Wednesday,0,urban,2,0,clear,high,36,medium,distraction,minor,3,2,0,None,0.1
24,Delhi,Delhi,28.528171,77.003017,3/26/2023,1:00,1,Sunday,1,highway,5,1,clear,high,29,high,drunk driving,minor,3,2,0,None,0.3
25,Delhi,Delhi,28.631253,77.168852,11/2/2022,14:00,14,Wednesday,0,highway,4,0,rain,low,32,high,overspeeding,major,1,0,0,None,0.65
26,Chennai,Tamil Nadu,12.964354,80.262971,10/11/2024,13:00,13,Friday,0,urban,6,0,clear,high,39,high,weather,major,1,1,0,None,0.3
